"","year","ukr","pol","rus","decade"
"1",1990,51891400,38110782,147969407,"1990"
"2",1991,52000500,38246193,148394216,"1990"
"3",1992,52150400,38363667,148538197,"1990"
"4",1993,52179200,38461408,148458777,"1990"
"5",1994,51921400,38542652,148407912,"1990"
"6",1995,51512800,38594998,148375787,"1990"
"7",1996,51057800,38624370,148160129,"1990"
"8",1997,50594600,38649660,147915361,"1990"
"9",1998,50144500,38663481,147670784,"1990"
"10",1999,49674000,38660271,147214776,"1990"
"11",2000,49176500,38258629,146596869,"2000"
"12",2001,48662400,38248076,145976482,"2000"
"13",2002,48202470,38230364,145306497,"2000"
"14",2003,47812949,38204570,144648618,"2000"
"15",2004,47451626,38182222,144067316,"2000"
"16",2005,47105171,38165445,143518814,"2000"
"17",2006,46787786,38141267,143049637,"2000"
"18",2007,46509355,38120560,142805114,"2000"
"19",2008,46258189,38125759,142742366,"2000"
"20",2009,46053331,38151603,142785349,"2000"
"21",2010,45870741,38042794,142849468,"2010"
"22",2011,45706086,38063255,142960908,"2010"
"23",2012,45593342,38063164,143201721,"2010"
"24",2013,45489648,38040196,143506995,"2010"
"25",2014,45272156,38011735,143819666,"2010"
"26",2015,45154036,37986412,144096870,"2010"
"27",2016,45004674,37970087,144342396,"2010"
"28",2017,44831135,37974826,144496740,"2010"
"29",2018,44622518,37974750,144477860,"2010"
"30",2019,44385155,37970874,144373535,"2010"
